"Suburb","Total_Number","BYO_Only","Ordinary_Trading_Hours","Gambling_Allowed"
"FERNTREE GULLY UPPER",1,0,1,0
"FERNY CREEK",2,0,3,0
"FINGAL",13,0,3,0
"FISH CREEK",10,0,2,0
"FISHERMANS BEND",2,0,2,0
"FITZROY",256,4,84,1
"FITZROY NORTH",64,2,31,0
"FIVE WAYS",1,0,2,0
"FLEMINGTON",31,5,14,1
"FLINDERS",17,2,8,0
"FLOWERDALE",4,0,1,0
"FLYNN",1,1,1,0
"FOOTSCRAY",141,9,71,3
"FOOTSCRAY SOUTH",1,0,2,0
"FOOTSCRAY WEST",18,0,13,0
"FOREST HILL",34,3,21,1
"FORREST",6,0,5,0
"FOSTER",15,0,6,1
"FOSTER NORTH",1,0,1,0
"FOUNTAIN GATE",4,0,3,0
"FRAMLINGHAM",1,0,1,0
"FRANKLINFORD",1,0,1,0
"FRANKSTON",134,7,60,4
"FRANKSTON EAST",1,1,1,0
"FRANKSTON NORTH",7,1,3,0
"FRANKSTON SOUTH",9,1,4,0
"FRASER RISE",3,0,2,0
"FRENCH ISLAND",1,0,1,0
"FRENCHMANS",1,0,1,0
"FRESHWATER CREEK",1,0,2,0
"FYANSFORD",4,0,2,0
"GANNAWARRA",1,0,1,0
"GAPSTED",3,0,2,0
"GARDEN CITY",1,0,2,0
"GARDENVALE",1,1,1,0
"GARFIELD",5,0,2,0
"GEELONG",211,7,78,3
"GEELONG EAST",4,0,2,0
"GEELONG NORTH",20,0,8,3
"GEELONG SOUTH",5,0,3,0
"GEELONG WEST",55,3,37,1
"GELANTIPY",1,0,1,0
"GELLIBRAND",5,1,3,0
"GELLIBRAND RIVER",1,0,2,0
"GEMBROOK",16,1,5,0
"GENOA",1,0,2,0
"GILLEAR",1,0,1,0
"GIPSY POINT",2,0,3,0
"GIRGARRE",2,0,1,0
"GISBORNE",36,2,17,1
"GLADSTONE PARK",8,1,5,0
"GLADYSDALE",2,0,1,0
"GLEN AIRE",1,0,1,0
"GLEN ALVIE",2,0,1,0
"GLEN FORBES",3,0,2,0
"GLEN HUNTLY",7,1,4,0
"GLEN IRIS",55,5,26,0
"GLEN WAVERLEY",135,5,60,4
"GLEN WAVERLEY NORTH",1,0,2,0
"GLEN WILLS",1,0,1,0
"GLENAIRE",1,0,2,0
"GLENBURN",2,0,1,0
"GLENFERRIE",1,0,1,0
"GLENGARRY",6,1,3,0
"GLENHOPE",1,0,1,0
"GLENHUNTLY",9,3,7,0
"GLENLYON",4,0,2,0
"GLENORCHY",1,0,1,0
"GLENROWAN",7,0,3,0
"GLENROY",26,1,10,1
"GOLDEN BEACH",4,0,3,0
"GOLDEN GULLY",1,0,2,0
"GOLDEN POINT",4,0,4,0
"GOLDEN SQUARE",8,0,3,0
"GOORAMADDA",2,0,1,0
"GOORAMBAT",2,0,1,0
"GOORNONG",3,0,3,0
"GORDON",5,0,3,0
"GORMANDALE",2,0,2,0
"GOROKE",4,0,2,0
"GOUGHS BAY",2,0,2,0
"GOUGHS BAY (VIA MANSFIELD",1,0,2,0
"GOWANBRAE",3,1,1,0
"GRAHAMVALE",2,0,2,0
"GRANTVILLE",4,0,4,0
"GRANYA",2,0,3,0
"GRAYTOWN",2,0,1,0
"GREAT WESTERN",9,0,3,0
"GREEN LAKE",1,0,1,0
"GREEN LAKE VIA HORSHAM",1,0,1,0
"GREENDALE",1,0,1,0
"GREENSBOROUGH",51,6,26,2
"GREENVALE",7,1,2,0
"GRETA",2,0,1,0
"GREYTHORN",1,0,2,0
"GROVEDALE",29,1,14,1
"GRUYERE",13,0,2,0
"GRUYERE VIA COLDSTREAM",3,0,1,0
"GUILDFORD",5,0,2,0
"GUNBOWER",5,0,1,0
"GUNDOWRING",1,0,1,0
"GUYS HILL",1,0,1,0
"HADDON",2,1,2,0
"HADFIELD",5,1,4,0
"HALLAM",15,1,8,1
"HALLORA",1,0,1,0
"HALLS GAP",29,1,15,0
"HAMILTON",59,5,15,2
"HAMLYN HEIGHTS",3,0,3,0
"HAMPTON",69,4,36,1
"HAMPTON EAST",6,0,3,0
"HAMPTON PARK",23,2,11,1
"HANGING ROCK",1,0,2,0
"HARCOURT",12,0,4,0
"HARCOURT NORTH",1,0,1,0
"HARCOURT SOUTH",1,0,1,0
"HARRIETVILLE",5,0,4,0
"HARRISFIELD",1,0,2,0
"HARROW",5,0,2,0
"HASTINGS",35,2,21,3
"HATTAH",1,0,2,0
"HAWKESDALE",1,0,1,0
"HAWKSBURN",2,0,3,0
"HAWTHORN",162,7,97,1
"HAWTHORN EAST",57,1,25,1
"HEALESVILLE",88,2,30,2
"HEATHCOTE",45,0,11,0
"HEATHERTON",13,0,4,0
"HEATHMERE",1,0,1,0
"HEATHMONT",20,2,11,0
"HEIDELBERG",34,1,22,2
"HEIDELBERG HEIGHTS",10,1,7,0
"HEIDELBERG WEST",15,1,9,1
"HEPBURN",3,0,1,0
"HEPBURN SPRINGS",24,0,10,0
"HERNE HILL",7,0,3,0
"HESKET",2,0,1,0
"HEYFIELD",10,1,3,0
"HEYWOOD",9,0,3,0
"HIGHETT",41,2,20,1
"HIGHTON",27,1,16,0
"HILLSIDE",12,1,8,1
"HODDLES CREEK",2,0,1,0
"HOPETOUN",5,0,2,0
"HOPPERS CROSSING",56,3,33,3
"HORDERN VALE",1,0,2,0
"HORSHAM",73,3,20,3
"HOTHAM HEIGHTS",12,6,3,0
"HOWQUA",1,0,2,0
"HUGHESDALE",8,0,4,0
"HUMEVALE",1,0,1,0
"HUNTINGDALE",11,1,6,0
"HUNTLY",8,0,3,0
"HURSTBRIDGE",16,0,10,0
"INDENTED HEAD",2,0,2,0
"INDIGO VALLEY",2,0,1,0
"INGLEWOOD",7,0,2,0
"INVERGORDON",1,0,2,0
"INVERLEIGH",6,0,2,0
"INVERLOCH",29,2,12,0
"INVERMAY",3,0,1,0
"IONA",1,0,1,0
"IRAAK",1,0,1,0
"IRONBARK",1,0,1,0
"IRREWARRA",1,0,1,0
"IRREWILLIPE",1,0,1,0
"IRYMPLE",14,0,4,0
"IVANHOE",52,1,30,1
"IVANHOE EAST",7,0,5,0
"JACANA",2,0,1,1
"JAMIESON",7,0,3,0
"JAN JUC",10,0,3,0
"JARKLIN",1,0,2,0
"JEPARIT",5,0,4,0
"JINDIVICK",2,1,1,0
"JOHANNA",1,0,1,0
"JOHNSONVILLE",2,0,2,0
"JOLIMONT",2,0,2,0
"JORDANVILLE",1,0,1,0
"JUNCTION VILLAGE",1,0,2,0
"JUNORTOUN",4,0,1,0
"KAARIMBA",1,0,1,0
"KALIMNA",2,0,2,0
"KALIMNA WEST",2,0,2,0
"KALKALLO",1,0,1,0
"KALKEE",1,0,1,0
"KALLISTA",8,2,5,0
"KALORAMA",2,0,2,0
"KANGAROO FLAT",21,0,9,2
"KANGAROO GROUND",11,0,4,0
"KANIVA",8,1,2,0
"KANUMBRA",1,0,1,0
"KANYAPELLA",4,0,1,0
"KARADOC",1,0,1,0
"KARADOC VIA RED CLIFFS",1,0,1,0
"KARDELLA SOUTH",3,0,1,0
"KARINGAL",5,0,4,0
"KATAMATITE",4,0,1,0
"KATANDRA WEST",5,0,2,0
"KATUNGA",5,0,1,0
"KEALBA",8,1,3,1
"KEILOR",17,0,6,1
"KEILOR DOWNS",3,0,2,1
"KEILOR EAST",24,4,11,0
"KEILOR NORTH",1,0,1,0
"KEILOR PARK",14,1,2,0
"KENLEY",1,0,1,0
"KENNINGTON",4,0,4,0
"KENNINGTON VIA BENDIGO",1,0,1,0
"KENSINGTON",47,1,24,0
"KEON PARK",4,0,2,0
"KERANG",19,3,3,1
"KERGUNYAH",1,0,2,0
"KERNOT",2,0,3,0
"KEVINGTON",1,0,1,0
"KEW",89,7,36,0
"KEW EAST",22,0,11,1
"KEYSBOROUGH",40,4,16,2
"KIALLA",14,1,3,1
"KIALLA WEST",3,0,3,0
