vic_loca_2,num_of_liquor_shops
EAST THOMASTOWN,1
EASTWOOD,2
EBDEN,1
ECHUCA,80
ECHUCA WEST,1
ECKLIN SOUTH,1
EDDINGTON,1
EDENHOPE,10
EDI,1
EDITHVALE,17
EILDON,12
ELAINE,3
ELDORADO,2
ELLIMINYT,7
ELLINABANK,1
ELLINBANK,2
ELMHURST,3
ELMORE,7
ELPHINSTONE,4
ELSTERNWICK,85
ELTHAM,57
ELTHAM NORTH,2
ELWOOD,62
EMERALD,17
ENDEAVOUR HILLS,23
ENFIELD,1
ENSAY,3
EPPALOCK,3
EPPING,73
EPSOM,6
ERICA,3
ESKDALE,4
ESSENDON,77
ESSENDON AIRPORT,1
ESSENDON FIELDS,7
ESSENDON NORTH,8
EUMEMMERRING,2
EUROA,22
EUROBIN,3
EVERSLEY,1
EVERTON,1
EVERTON UPPER,7
EYNESBURY,3
FAIRFIELD,46
FAIRHAVEN,1
FALLS CREEK,49
FARADAY,3
FAWKNER,22
FERGUSON,1
FERNDALE,1
FERNTREE GULLY,56
FERNTREE GULLY UPPER,1
FERNY CREEK,2
FINGAL,13
FISH CREEK,10
FISHERMANS BEND,2
FITZROY,256
FITZROY NORTH,64
FIVE WAYS,1
FLEMINGTON,31
FLINDERS,17
FLOWERDALE,4
FLYNN,1
FOOTSCRAY,141
FOOTSCRAY SOUTH,1
FOOTSCRAY WEST,18
FOREST HILL,34
FORREST,6
FOSTER,15
FOSTER NORTH,1
FOUNTAIN GATE,4
FRAMLINGHAM,1
FRANKLINFORD,1
FRANKSTON,134
FRANKSTON EAST,1
FRANKSTON NORTH,7
FRANKSTON SOUTH,9
FRASER RISE,3
FRENCH ISLAND,1
FRENCHMANS,1
FRESHWATER CREEK,1
FYANSFORD,4
GANNAWARRA,1
GAPSTED,3
GARDEN CITY,1
GARDENVALE,1
GARFIELD,5
GEELONG,211
GEELONG EAST,4
GEELONG NORTH,20
GEELONG SOUTH,5
GEELONG WEST,55
GELANTIPY,1
GELLIBRAND,5
GELLIBRAND RIVER,1
GEMBROOK,16
GENOA,1
GILLEAR,1
GIPSY POINT,2
GIRGARRE,2
GISBORNE,36
GLADSTONE PARK,8
GLADYSDALE,2
GLEN AIRE,1
GLEN ALVIE,2
GLEN FORBES,3
GLEN HUNTLY,7
GLEN IRIS,55
GLEN WAVERLEY,135
GLEN WAVERLEY NORTH,1
GLEN WILLS,1
GLENAIRE,1
GLENBURN,2
GLENFERRIE,1
GLENGARRY,6
GLENHOPE,1
GLENHUNTLY,9
GLENLYON,4
GLENORCHY,1
GLENROWAN,7
GLENROY,26
GOLDEN BEACH,4
GOLDEN GULLY,1
GOLDEN POINT,4
GOLDEN SQUARE,8
GOORAMADDA,2
GOORAMBAT,2
GOORNONG,3
GORDON,5
GORMANDALE,2
GOROKE,4
GOUGHS BAY,2
GOUGHS BAY (VIA MANSFIELD,1
GOWANBRAE,3
GRAHAMVALE,2
GRANTVILLE,4
GRANYA,2
GRAYTOWN,2
GREAT WESTERN,9
GREEN LAKE,1
GREEN LAKE VIA HORSHAM,1
GREENDALE,1
GREENSBOROUGH,52
GREENVALE,7
GRETA,2
GREYTHORN,1
GROVEDALE,29
GRUYERE,13
GRUYERE VIA COLDSTREAM,3
GUILDFORD,5
GUNBOWER,5
GUNDOWRING,1
GUYS HILL,1
HADDON,2
HADFIELD,5
HALLAM,15
HALLORA,1
HALLS GAP,29
HAMILTON,59
HAMLYN HEIGHTS,3
HAMPTON,69
HAMPTON EAST,6
HAMPTON PARK,23
HANGING ROCK,1
HARCOURT,12
HARCOURT NORTH,1
HARCOURT SOUTH,1
HARRIETVILLE,5
HARRISFIELD,1
HARROW,5
HASTINGS,35
HATTAH,1
HAWKESDALE,1
HAWKSBURN,2
HAWTHORN,162
HAWTHORN EAST,57
HEALESVILLE,88
HEATHCOTE,45
HEATHERTON,13
HEATHMERE,1
HEATHMONT,20
HEIDELBERG,34
HEIDELBERG HEIGHTS,10
HEIDELBERG WEST,15
HEPBURN,3
HEPBURN SPRINGS,24
HERNE HILL,7
HESKET,2
HEYFIELD,10
HEYWOOD,9
HIGHETT,41
HIGHTON,27
HILLSIDE,12
HODDLES CREEK,2
HOPETOUN,5
HOPPERS CROSSING,56
HORDERN VALE,1
HORSHAM,73
HOTHAM HEIGHTS,12
HOWQUA,1
HUGHESDALE,8
HUMEVALE,1
HUNTINGDALE,11
HUNTLY,8
HURSTBRIDGE,16
INDENTED HEAD,2
INDIGO VALLEY,2
INGLEWOOD,7
INVERGORDON,1
INVERLEIGH,6
INVERLOCH,29
INVERMAY,3
IONA,1
IRAAK,1
IRONBARK,1
IRREWARRA,1
IRREWILLIPE,1
IRYMPLE,14
IVANHOE,52
IVANHOE EAST,7
JACANA,2
JAMIESON,7
JAN JUC,10
JARKLIN,1
JEPARIT,5
JINDIVICK,2
JOHANNA,1
JOHNSONVILLE,2
JOLIMONT,2
JORDANVILLE,1
JUNCTION VILLAGE,1
JUNORTOUN,4
KAARIMBA,1
KALIMNA,2
KALIMNA WEST,2
KALKALLO,1
KALKEE,1
KALLISTA,8
KALORAMA,2
KANGAROO FLAT,21
KANGAROO GROUND,11
KANIVA,8
KANUMBRA,1
KANYAPELLA,4
KARADOC,1
KARADOC VIA RED CLIFFS,1
KARDELLA SOUTH,3
KARINGAL,5
KATAMATITE,4
KATANDRA WEST,5
KATUNGA,5
KEALBA,8
KEILOR,17
KEILOR DOWNS,3
KEILOR EAST,24
KEILOR NORTH,1
KEILOR PARK,14
KENLEY,1
KENNINGTON,4
KENNINGTON VIA BENDIGO,1
KENSINGTON,47
KEON PARK,4
KERANG,19
KERGUNYAH,1
KERNOT,2
KEVINGTON,1
KEW,89
KEW EAST,22
KEYSBOROUGH,40
KIALLA,14
KIALLA WEST,3
KIEWA,2
KILCUNDA,4
KILLARNEY,3
KILMORE,26
KILSYTH,17
KILSYTH SOUTH,1
KING VALLEY,6
KINGLAKE,4
KINGLAKE CENTRAL,2
KINGOWER,2
KINGOWER VIA INGLEWOOD,1
KINGSBURY,10
KINGSTON,1
KINGSVILLE,4
KIRKSTALL,1
KNOWSLEY,3
KNOXFIELD,17
KOO-WEE-RUP,2
KOO WEE RUP,7
KOONDROOK,3
KOONOOMOO,4
KOONWARRA,2
KOORLONG,3
KOOYONG,8
KOROIT,11
KORONG VALE,3
KORUMBURRA,23
KOTUPNA,1
KOYUGA,1
KYABRAM,20
KYABRAM WEST,1
KYNETON,51
LAANG,1
LABERTOUCHE,2
LACEBY,1
LAHARUM,4
LAKE BOGA,7
LAKE BOLAC,6
LAKE BUNGA,1
LAKE CHARM,2
LAKE CULLULLERAINE,1
LAKE EPPALOCK,1
LAKE GILLEAR,1
LAKE HUME VIA EBDEN,1
LAKE LONSDALE,1
LAKE TYERS BEACH,2
LAKE WELLINGTON,1
LAKE WENDOUREE,1
LAKES ENTRANCE,40
LAL LAL,1
LALBERT,3
LALOR,24
LAMPLOUGH,2
LANCASTER,1
LANCEFIELD,24
LANDSBOROUGH,4
LANG LANG,9
LANGWARRIN,15
LARA,27
LARA LAKE,1
LASCELLES,1
LAUNCHING PLACE,2
LAVERS HILL,5
LAVERTON,23
LAVERTON NORTH,5
LEARMONTH,7
LEICHARDT,1
LEIGH CREEK,1
LEITCHVILLE,4
LEONGATHA,27
LEONGATHA NORTH,1
LEONGATHA SOUTH,4
LEOPOLD,18
LETHBRIDGE,9
LEXTON,4
LICOLA,1
LILLIPUT,1
LILYDALE,59
LIMA SOUTH,3
LINDENOW,6
LINDENOW SOUTH,2
LINTON,3
LISMORE,7
LITTLE RIVER,2
LOCH,9
LOCH SPORT,8
LOCKINGTON,5
LOCKSLEY,2
LOCKWOOD SOUTH,1
LOGAN,1
LONG GULLY,1
LONGFORD,6
LONGLEA,1
LONGWARRY,6
LONGWARRY NORTH,1
LONGWOOD,2
LONGWOOD EAST,1
LORNE,41
LOVELY BANKS,4
LOWER NORTON,2
LOWER PLENTY,16
LOWER TEMPLESTOWE,16
LUCAS,1
LUCKNOW,4
LYNBROOK,5
LYNDHURST,11
LYONVILLE,3
LYSTERFIELD,4
MACARTHUR,7
MACCLESFIELD,1
MACEDON,16
MACLEOD,13
MACORNA,1
MACS COVE,1
MADDINGLEY,1
MAFFRA,21
MAFFRA WEST UPPER,1
MAGPIE,1
MAIDEN GULLY,7
MAIDSTONE,20
MAIN RIDGE,18
MAINDAMPLE,1
MALDON,18
MALLACOOTA,7
MALMSBURY,8
MALVERN,79
MALVERN EAST,81
MANANGATANG,4
MANDURANG,7
MANGALORE,1
MANIFOLD HEIGHTS,4
MANNERIM,2
MANOR LAKES,1
MANSFIELD,40
MARCUS HILL,4
MARDAN,1
MARIBYRNONG,42
MARKWOOD,1
MARLO,2
MARNOO,3
MARONG,8
MAROONA,1
MARYBOROUGH,37
MARYKNOLL,1
MARYSVILLE,16
MCADAMS GAP,1
MCCRAE,8
MCKINNON,14
MCMAHONS CREEK,1
MEADOW HEIGHTS,2
MEENIYAN,12
MEERLIEU,2
MELB INTERNATIONAL AIRPORT,1
MELBOURNE,1407
MELBOURNE AIRPORT,44
MELBOURNE AREA,1
MELBOURNE SOUTH,13
MELBOURNE UNIVERSITY,5
MELTON,55
MELTON SOUTH,14
MELTON WEST,9
MENTONE,42
MERBEIN,12
MERBEIN SOUTH,1
MEREDITH,4
MERINO,2
MERLYNSTON,1
MERNDA,13
MERRICKS,11
MERRICKS BEACH,1
MERRICKS NORTH,13
MERRIGUM,4
MERRIJIG,6
MERTON,1
METCALFE,1
METUNG,11
MIA MIA,2
MICKLEHAM,2
MIDDLE BRIGHTON,5
MIDDLE PARK,18
MILAWA,16
MILDURA,135
MILDURA SOUTH,3
MILL PARK,45
MILLGROVE,1
MINERS REST,5
MINIMAY,1
MININERA,1
MINYIP,8
MIRBOO NORTH,13
MITCHAM,40
MITCHELLSTOWN,2
MITIAMO,3
MITTA MITTA,3
MODEWARRE,1
MOE,33
MOLESWORTH,3
MOLIAGUL,1
MONASH UNIVERSITY,5
MONBULK,22
MONEGEETTA,1
MONGANS BRIDGE,2
MONOMEITH,1
MONT ALBERT,12
MONT ALBERT NORTH,3
MONTMORENCY,19
MONTROSE,15
MOOLAP,11
MOONAMBEL,17
MOONDARAH,1
MOONEE PONDS,111
MOONLIGHT,1
MOONLIGHT FLAT,1
MOORABBIN,57
MOORABBIN AIRPORT,4
MOORABOOL,1
MOORNGAG,2
MOOROODUC,21
MOOROOLBARK,25
MOOROOPNA,19
MORDIALLOC,52
MORDIALLOC NORTH,1
MORIAC,2
MORNINGTON,125
MORNINGTON EAST,1
MORTLAKE,6
MORWELL,48
MOUNT BAW BAW,9
MOUNT BEAUTY,6
MOUNT BRUNO,1
MOUNT BULLER,54
MOUNT BURNETT,1
MOUNT CAMEL,1
MOUNT CLEAR,3
MOUNT DANDENONG,8
MOUNT DUNEED,5
MOUNT ELIZA,49
MOUNT EVELYN,13
MOUNT HELEN,3
MOUNT HOTHAM,12
MOUNT MACEDON,9
MOUNT MARTHA,33
MOUNT MORIAC,4
MOUNT PLEASANT,1
MOUNT SCOBIE,1
MOUNT TOOLEBEWONG,1
MOUNT WAVERLEY,58
MOUNTAIN GATE,1
MOYARRA,1
MOYHU,4
MOYSTON,5
MT BEAUTY,2
MT BULLER,10
MT CLEAR,2
MT ELIZA,2
MT EVELYN,2
MT HOTHAM,6
MT MARTHA,1
MT WAVERLEY,3
MUCKLEFORD,2
MUDGEEGONGA,1
MULGRAVE,31
MURCHISON,7
MURCHISON EAST,1
MURGHEBOLUC,1
MURRABIT,4
MURRADOC,1
MURRAYDALE,1
MURRAYVILLE,4
MURRINDINDI,2
MURROON,2
Murrumbeena,1
MURRUMBEENA,18
MURTOA,5
MUSK,4
MYERS FLAT,1
MYRNIONG,3
MYRRHEE,5
MYRRHEE  MOYHU,1
MYRTLE CREEK,1
MYRTLEFORD,41
MYSTIC PARK,3
NAGAMBIE,32
NAMBROK,2
NAMBROOK VIA ROSEDALE,1
NANDALY,1
NANGILOC,3
NANNEELLA,1
NAPOLEONS,1
NAR NAR GOON,4
